GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swagger-diff,com.deepoove.swagger.diff.model,ElProperty,0,38,0,0,0,16,0,11,0,11
swagger-diff,com.deepoove.swagger.diff.model,ChangedOperation,8,227,7,33,0,50,7,41,0,28
swagger-diff,com.deepoove.swagger.diff.model,ChangedEndpoint,0,39,0,2,0,14,0,11,0,10
swagger-diff,com.deepoove.swagger.diff.model,ChangedParameter,0,89,1,9,0,27,1,20,0,16
swagger-diff,com.deepoove.swagger.diff.model,Endpoint,0,38,0,0,0,16,0,11,0,11
swagger-diff,com.deepoove.swagger.diff,SwaggerDiff,44,158,7,7,9,35,8,14,1,14
swagger-diff,com.deepoove.swagger.diff.output,HtmlRender,52,1109,12,76,4,167,13,54,1,22
swagger-diff,com.deepoove.swagger.diff.output,JsonRender,0,6,0,0,0,2,0,2,0,2
swagger-diff,com.deepoove.swagger.diff.output,MarkdownRender,41,1047,8,64,3,194,8,47,0,19
swagger-diff,com.deepoove.swagger.diff.cli,CLI,41,62,4,6,12,19,6,7,3,5
swagger-diff,com.deepoove.swagger.diff.cli,RegexValidator,7,61,1,3,6,13,1,4,0,3
swagger-diff,com.deepoove.swagger.diff.compare,MapKeyDiff,15,80,5,7,4,20,4,7,0,5
swagger-diff,com.deepoove.swagger.diff.compare,ParameterDiff,20,254,4,24,6,62,7,19,3,9
swagger-diff,com.deepoove.swagger.diff.compare,ListDiff,17,83,3,9,5,20,5,8,2,5
swagger-diff,com.deepoove.swagger.diff.compare,PropertyDiff,12,68,0,0,6,17,3,6,3,6
swagger-diff,com.deepoove.swagger.diff.compare,ModelDiff,22,469,16,58,6,84,19,41,3,20
swagger-diff,com.deepoove.swagger.diff.compare,SpecificationDiff,23,409,5,15,1,105,6,21,1,16
